blank,pea pods,9/26 dry pea weight,Date,Dorm Number,Predator Treatment,Plant Treatment,pemv sample date,Corners infected,Corners clean,pemv.prop,total.samples,Ladybug pupae,Count 1,Count 2,Count 3,Count 4,Count 5,Count 6,median count,dry pea harvest date,dry peas,dry pea sort date,pea pods,pods per plant,dry pea dry mass,seed-beetle adults,aphid count date,Clean,Moderate Infestation,Heavy Infestation,Tissue Damage,Dead
,0,0,25-Jul,1,Ladybeetle,Red Clover,20-Jul,0,6,0,6,99,61,62,64,,,,62,1-Aug,,,0,0,,0,12-Jul,0,4,56,2,0
,0,0,25-Jul,2,Control,Red Clover,20-Jul,0,6,0,6,1,43,41,43,,,,43,1-Aug,,,0,0,,0,12-Jul,9,0,27,6,1
,125,83.38,25-Jul,3,Ladybeetle,Red Clover,20-Jul,2,4,0.333333333,6,296,52,53,51,,,,52,1-Aug,,,125,2.403846154,,0,12-Jul,26,3,19,4,0
,223,60.22,25-Jul,4,Control,Red Clover,20-Jul,2,4,0.333333333,6,1,39,53,44,41,,,43,1-Aug,594,13-Sep,223,5.186046512,83.9212,0,12-Jul,23,14,5,1,0
,111,,25-Jul,5,Ladybeetle,Red Clover,20-Jul,2,4,0.333333333,6,181,83,93,84,,,,84,1-Aug,401,13-Sep,111,1.321428571,60.9786,0,12-Jul,40,29,15,0,0
,2,,25-Jul,6,Control,Red Clover,20-Jul,0,6,0,6,0,93,93,87,,,,93,1-Aug,,,2,0.021505376,,0,12-Jul,6,0,65,22,0
,1,,25-Jul,7,Ladybeetle,Red Clover,20-Jul,1,5,0.166666667,6,15,66,57,57,,,,57,1-Aug,2,13-Sep,1,0.01754386,0.3288,0,12-Jul,29,3,24,1,0
,26,,25-Jul,8,Control,Red Clover,20-Jul,2,4,0.333333333,6,6,47,69,63,63,,,63,1-Aug,74,13-Sep,26,0.412698413,10.4843,0,12-Jul,31,3,27,2,0
,0,,25-Jul,9,Ladybeetle,Vetch,20-Jul,0,6,0,6,89,44,45,47,50,,,46,1-Aug,,,0,0,,0,12-Jul,20,5,20,1,0
,64,,25-Jul,10,Control,Vetch,20-Jul,3,3,0.5,6,30,45,41,48,57,57,,48,1-Aug,197,13-Sep,64,1.333333333,30.9705,0,12-Jul,12,15,21,0,0
,159,,25-Jul,11,Ladybeetle,Vetch,20-Jul,4,2,0.666666667,6,178,66,66,60,44,45,46,53,1-Aug,,,159,3,,0,12-Jul,22,17,11,3,0
,78,,25-Jul,12,Control,Vetch,20-Jul,2,4,0.333333333,6,7,63,54,49,46,,,52,1-Aug,297,13-Sep,78,1.5,46.6496,0,12-Jul,23,4,23,2,0
,0,,25-Jul,13,Ladybeetle,Vetch,20-Jul,1,5,0.166666667,6,73,45,47,37,43,,,44,1-Aug,,,0,0,,0,12-Jul,17,3,13,10,1
,0,,25-Jul,14,Control,Vetch,20-Jul,1,5,0.166666667,6,1,49,54,46,52,,,51,1-Aug,,,0,0,,0,12-Jul,18,0,33,0,0
,3,,25-Jul,15,Ladybeetle,Vetch,20-Jul,0,6,0,6,101,49,61,61,53,55,,55,1-Aug,,,3,0.054545455,,0,12-Jul,26,0,29,0,0
,0,,25-Jul,16,Control,Vetch,20-Jul,1,5,0.166666667,6,2,34,41,43,44,46,,43,1-Aug,,,0,0,,0,12-Jul,20,3,15,5,0
,9,,25-Jul,17,Ladybeetle,Control,20-Jul,2,4,0.333333333,6,137,183,173,127,140,141,,141,1-Aug,16,13-Sep,9,0.063829787,2.4776,0,12-Jul,45,4,82,6,4
,0,,25-Jul,18,Control,Control,20-Jul,0,6,0,6,2,201,194,122,130,162,,162,1-Aug,,,0,0,,0,12-Jul,52,0,63,42,5
,7,,25-Jul,19,Ladybeetle,Control,20-Jul,3,3,0.5,6,58,130,131,136,157,,,134,1-Aug,,,7,0.052238806,,0,12-Jul,63,3,56,9,3
,0,,25-Jul,20,Control,Control,20-Jul,5,1,0.833333333,6,6,130,150,128,123,,,129,1-Aug,,,0,0,,0,12-Jul,72,4,45,2,6
,64,,25-Jul,21,Ladybeetle,Control,20-Jul,4,2,0.666666667,6,175,136,147,119,110,,,128,1-Aug,,,64,0.5,,0,12-Jul,68,24,35,1,0
,33,,25-Jul,22,Control,Control,20-Jul,2,4,0.333333333,6,8,156,178,153,167,,,162,1-Aug,,,33,0.203703704,,0,12-Jul,79,19,57,7,0
,325,,25-Jul,23,Ladybeetle,Control,20-Jul,1,5,0.166666667,6,165,150,158,178,166,,,162,1-Aug,,,325,2.00617284,,0,12-Jul,89,28,41,4,0
,29,,25-Jul,24,Control,Control,20-Jul,1,5,0.166666667,6,7,153,154,124,131,,,142,1-Aug,,,29,0.204225352,,22,12-Jul,87,1,47,5,2
