Alternative Host,Predator Supplmented,Weekday,Date,Intervals,Duration,Dorm #,final total,Clean,Moderate Infestation,Heavy Infestation,Tissue Damage,Dead,Total,Score,Ratio
Clover,Yes,Thursday,28-Jun,1,3,1,62,41,21,0,0,0,21,21,1
Clover,No,Thursday,28-Jun,1,3,2,43,22,21,0,0,0,21,21,1
Clover,Yes,Thursday,28-Jun,1,3,3,52,46,6,0,0,0,6,6,1
Clover,No,Thursday,28-Jun,1,3,4,43,41,2,0,0,0,2,2,1
Clover,Yes,Thursday,28-Jun,1,3,5,84,77,7,0,0,0,7,7,1
Clover,No,Thursday,28-Jun,1,3,6,93,68,25,0,0,0,25,25,1
Clover,Yes,Thursday,28-Jun,1,3,7,57,40,17,0,0,0,17,17,1
Clover,No,Thursday,28-Jun,1,3,8,63,53,10,0,0,0,10,10,1
Vetch,Yes,Thursday,28-Jun,1,3,9,46,36,10,0,0,0,10,10,1
Vetch,No,Thursday,28-Jun,1,3,10,48,35,13,0,0,0,13,13,1
Vetch,Yes,Thursday,28-Jun,1,3,11,53,45,8,0,0,0,8,8,1
Vetch,No,Thursday,28-Jun,1,3,12,52,38,14,0,0,0,14,14,1
Vetch,Yes,Thursday,28-Jun,1,3,13,44,22,22,0,0,0,22,22,1
Vetch,No,Thursday,28-Jun,1,3,14,51,35,16,0,0,0,16,16,1
Vetch,Yes,Thursday,28-Jun,1,3,15,55,38,17,0,0,0,17,17,1
Vetch,No,Thursday,28-Jun,1,3,16,43,30,13,0,0,0,13,13,1
Vetch,Yes,Thursday,28-Jun,1,3,17,141,115,26,0,0,0,26,26,1
None,No,Thursday,28-Jun,1,3,18,162,98,64,0,0,0,64,64,1
None,Yes,Thursday,28-Jun,1,3,19,134,107,27,0,0,0,27,27,1
None,No,Thursday,28-Jun,1,3,20,129,89,40,0,0,0,40,40,1
None,Yes,Thursday,28-Jun,1,3,21,128,109,19,0,0,0,19,19,1
None,No,Thursday,28-Jun,1,3,22,162,148,14,0,0,0,14,14,1
None,Yes,Thursday,28-Jun,1,3,23,162,152,10,0,0,0,10,10,1
None,No,Thursday,28-Jun,1,3,24,142,134,8,0,0,0,8,8,1
Clover,Yes,Monday,2-Jul,1,7,1,62,44,8,10,0,0,18,28,1.555555556
Clover,No,Monday,2-Jul,2,7,2,43,20,5,18,0,0,23,41,1.782608696
Clover,Yes,Monday,2-Jul,2,7,3,52,32,16,4,0,0,20,24,1.2
Clover,No,Monday,2-Jul,2,7,4,43,38,5,0,0,0,5,5,1
Clover,Yes,Monday,2-Jul,2,7,5,84,75,6,3,0,0,9,12,1.333333333
Clover,No,Monday,2-Jul,2,7,6,93,72,6,15,0,0,21,36,1.714285714
Clover,Yes,Monday,2-Jul,2,7,7,57,39,2,16,0,0,18,34,1.888888889
Clover,No,Monday,2-Jul,2,7,8,63,44,5,14,0,0,19,33,1.736842105
Vetch,Yes,Monday,2-Jul,2,7,9,46,26,8,12,0,0,20,32,1.6
Vetch,No,Monday,2-Jul,2,7,10,48,36,10,2,0,0,12,14,1.166666667
Vetch,Yes,Monday,2-Jul,2,7,11,53,48,4,1,0,0,5,6,1.2
Vetch,No,Monday,2-Jul,2,7,12,52,40,8,4,0,0,12,16,1.333333333
Vetch,Yes,Monday,2-Jul,2,7,13,44,16,5,23,0,0,28,51,1.821428571
Vetch,No,Monday,2-Jul,2,7,14,51,38,3,10,0,0,13,23,1.769230769
Vetch,Yes,Monday,2-Jul,2,7,15,55,37,6,12,0,0,18,30,1.666666667
Vetch,No,Monday,2-Jul,2,7,16,43,35,3,5,0,0,8,13,1.625
