Date,Dorm Number,Predator Treatment,Plant Treatment,Ladybug pupae,Count 1,Count 2,Count 3,Count 4,Count 5,Count 6,median count,pea pods,aphid count date,Clean,Moderate Infestation,Heavy Infestation,Tissue Damage,Dead
25-Jul,1,Ladybeetle,Red Clover,99,61,62,64,,,,62,0,12-Jul,0,4,56,2,0
25-Jul,2,Control,Red Clover,1,43,41,43,,,,43,0,12-Jul,9,0,27,6,1
25-Jul,3,Ladybeetle,Red Clover,296,52,53,51,,,,52,125,12-Jul,26,3,19,4,0
25-Jul,4,Control,Red Clover,1,39,53,44,41,,,43,223,12-Jul,23,14,5,1,0
25-Jul,5,Ladybeetle,Red Clover,181,83,93,84,,,,84,111,12-Jul,40,29,15,0,0
25-Jul,6,Control,Red Clover,0,93,93,87,,,,93,2,12-Jul,6,0,65,22,0
25-Jul,7,Ladybeetle,Red Clover,15,66,57,57,,,,57,1,12-Jul,29,3,24,1,0
25-Jul,8,Control,Red Clover,6,47,69,63,63,,,63,26,12-Jul,31,3,27,2,0
25-Jul,9,Ladybeetle,Common Vetch,89,44,45,47,50,,,46,0,12-Jul,20,5,20,1,0
25-Jul,10,Control,Common Vetch,30,45,41,48,57,57,,48,64,12-Jul,12,15,21,0,0
25-Jul,11,Ladybeetle,Common Vetch,178,66,66,60,44,45,46,53,159,12-Jul,22,17,11,3,0
25-Jul,12,Control,Common Vetch,7,63,54,49,46,,,52,78,12-Jul,23,4,23,2,0
25-Jul,13,Ladybeetle,Common Vetch,73,45,47,37,43,,,44,0,12-Jul,17,3,13,10,1
25-Jul,14,Control,Common Vetch,1,49,54,46,52,,,51,0,12-Jul,18,0,33,0,0
25-Jul,15,Ladybeetle,Common Vetch,101,49,61,61,53,55,,55,3,12-Jul,26,0,29,0,0
25-Jul,16,Control,Common Vetch,2,34,41,43,44,46,,43,0,12-Jul,20,3,15,5,0
25-Jul,17,Ladybeetle,Control,137,183,173,127,140,141,,141,9,12-Jul,45,4,82,6,4
25-Jul,18,Control,Control,2,201,194,122,130,162,,162,0,12-Jul,52,0,63,42,5
25-Jul,19,Ladybeetle,Control,58,130,131,136,157,,,134,7,12-Jul,63,3,56,9,3
25-Jul,20,Control,Control,6,130,150,128,123,,,129,0,12-Jul,72,4,45,2,6
25-Jul,21,Ladybeetle,Control,175,136,147,119,110,,,128,64,12-Jul,68,24,35,1,0
25-Jul,22,Control,Control,8,156,178,153,167,,,162,33,12-Jul,79,19,57,7,0
25-Jul,23,Ladybeetle,Control,165,150,158,178,166,,,162,325,12-Jul,89,28,41,4,0
25-Jul,24,Control,Control,7,153,154,124,131,,,142,29,12-Jul,87,1,47,5,2
