seeds sown,source plants innoculated with PEMV,source plants stocked with 50 aphids,sheet,observer,assay date,start time,host species,pemv treatment,start adults,start nymphs,end adults,end nymphs,deleta nymphs,delta aphids,response type,total events,delta.sub.aphids,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1/11/2018,1/30/2018,2/7/2018,1,Logan,9-Feb,12:15 PM,Lentil,Absent,13,27,11,27,0,2,ladybug foraging,29,,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1/11/2018,1/30/2018,2/7/2018,1,Logan,9-Feb,12:15 PM,Lentil,Absent,13,27,11,27,0,2,feeding event,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,1,Logan,9-Feb,12:15 PM,Lentil,Absent,13,27,11,27,0,2,aphid dispersal,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2018,1/30/2018,2/7/2018,2,Dana,9-Feb,12:15 PM,Lentil,Absent,18,34,16,33,1,3,ladybug foraging,10,,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,2,Dana,9-Feb,12:15 PM,Lentil,Absent,18,34,16,33,1,3,feeding event,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,2,Dana,9-Feb,12:15 PM,Lentil,Absent,18,34,16,33,1,3,aphid dispersal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,3,Dana,9-Feb,2:01 PM,Vetch,Absent,11,37,6,28,9,14,ladybug foraging,59,,0,1,1,3,2,4,2,1,1,1,2,2,4,3,3,3,3,3,2,2,3,2,2,1,1,2,2,1,1,1
1/11/2018,1/30/2018,2/7/2018,3,Dana,9-Feb,2:01 PM,Vetch,Absent,11,37,6,28,9,14,feeding event,13,,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0
1/11/2018,1/30/2018,2/7/2018,3,Dana,9-Feb,2:01 PM,Vetch,Absent,11,37,6,28,9,14,aphid dispersal,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,4,Logan,9-Feb,2:01 PM,Vetch,Absent,9,14,7,13,1,3,ladybug foraging,36,,0,1,1,2,0,0,2,1,1,1,1,0,0,0,0,1,0,3,5,2,3,2,2,2,2,1,1,0,1,1
1/11/2018,1/30/2018,2/7/2018,4,Logan,9-Feb,2:01 PM,Vetch,Absent,9,14,7,13,1,3,feeding event,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,4,Logan,9-Feb,2:01 PM,Vetch,Absent,9,14,7,13,1,3,aphid dispersal,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2018,1/30/2018,2/7/2018,5,Rob,9-Feb,2:15 PM,Pea,Absent,5,18,5,16,2,2,ladybug foraging,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,5,Rob,9-Feb,2:15 PM,Pea,Absent,5,18,5,16,2,2,feeding event,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,5,Rob,9-Feb,2:15 PM,Pea,Absent,5,18,5,16,2,2,aphid dispersal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,6,Rob,9-Feb,2:15 PM,Pea,Absent,6,20,6,20,0,0,ladybug foraging,3,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,6,Rob,9-Feb,2:15 PM,Pea,Absent,6,20,6,20,0,0,feeding event,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,6,Rob,9-Feb,2:15 PM,Pea,Absent,6,20,6,20,0,1,aphid dispersal,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,7,Dana,9-Feb,2:51 PM,Lentil,Present,8,28,4,15,13,17,ladybug foraging,18,,2,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,7,Dana,9-Feb,2:51 PM,Lentil,Present,8,28,4,15,13,17,feeding event,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,7,Dana,9-Feb,2:51 PM,Lentil,Present,8,28,4,15,13,17,aphid dispersal,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,8,Logan,9-Feb,2:51 PM,Lentil,Present,9,17,1,4,13,21,ladybug foraging,23,,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,3,1,1,1,1,0,1,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,8,Logan,9-Feb,2:51 PM,Lentil,Present,9,17,1,4,13,21,feeding event,4,,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
